CaptureDate,FlightDate,Airport,AirportName,Direction,ICAO24,Callsign,OriginAirport,DestinationAirport,FirstSeen,LastSeen,DepartureAirportDistance,ArrivalAirportDistance,Source
2026-09-17,2026-09-16,YMAV,Avalon,Arrival,7c6c96,JST613,YSSY,YMAV,1789558350,1789562366,282,1591,OpenSky
2026-09-17,2026-09-16,YMAV,Avalon,Arrival,7c6a58,AM320,YHML,YMAV,1789546636,1789548659,1286,1468,OpenSky
2026-09-17,2026-09-16,YMAV,Avalon,Arrival,7c6b41,JST620,YPAD,YMAV,1789543208,1789546942,713,1328,OpenSky
2026-09-17,2026-09-16,YMAV,Avalon,Arrival,7c6b18,JST609,YSSY,YMAV,1789533810,1789537965,305,1453,OpenSky
2026-09-17,2026-09-16,YMAV,Avalon,Arrival,7c764d,JST631,YBCG,YMAV,1789528182,1789535592,4645,1604,OpenSky
2026-09-17,2026-09-16,YMAV,Avalon,Arrival,7c47a8,JST633,YBBN,YMAV,1789525000,1789532309,1073,1663,OpenSky
2026-09-17,2026-09-16,YMAV,Avalon,Arrival,7c6c96,JST607,YSSY,YMAV,1789526404,1789530681,164,1228,OpenSky
2026-09-17,2026-09-16,YMAV,Avalon,Arrival,7c6c96,JST603,YSSY,YMAV,1789510308,1789514511,612,2087,OpenSky
2026-09-17,2026-09-16,YMAV,Avalon,Departure,7c6a58,AM320,YMAV,YMEN,1789550228,1789550920,148,603,OpenSky
2026-09-17,2026-09-16,YMAV,Avalon,Departure,7c6b41,JST621,YMAV,YPAD,1789549761,1789553297,330,980,OpenSky
2026-09-17,2026-09-16,YMAV,Avalon,Departure,7c47a8,JST049,YMAV,,1789546265,1789551419,611,,OpenSky
2026-09-17,2026-09-16,YMAV,Avalon,Departure,7c6b18,JST610,YMAV,YSSY,1789541113,1789545406,182,1546,OpenSky
2026-09-17,2026-09-16,YMAV,Avalon,Departure,7c764d,JST630,YMAV,YBCG,1789539330,1789545356,559,8518,OpenSky
2026-09-17,2026-09-16,YMAV,Avalon,Departure,7c6c96,JST608,YMAV,YSSY,1789534914,1789538896,588,1526,OpenSky
2026-09-17,2026-09-16,YMAV,Avalon,Departure,7c6c96,JST606,YMAV,YSSY,1789518093,1789522360,1044,1304,OpenSky
2026-09-17,2026-09-16,YMAV,Avalon,Departure,7c6c96,JST602,YMAV,YSSY,1789502105,1789506146,867,1303,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7cad45,VOZ091,YMML,YMML,1789520901,1789567072,1716,583,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c7aa3,VOZ358,YBBN,YMML,1789559601,1789566873,1703,1561,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c6deb,QFA772,YPPH,YMML,1789552435,1789566019,948,1108,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c7a4a,VOZ702,YPPH,YMML,1789553707,1789565849,362,1727,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c01f6,AN8,YSBK,YMML,1789555476,1789565217,485,377,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c6d7b,JST917,,YMML,1789563073,1789564932,,1748,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c6d78,JST449,YBCG,YMML,1789557854,1789564698,5263,1849,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c6d9f,QFA499,YSSY,YMML,1789560305,1789564238,100,1844,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c6b13,JST947,,YMML,1789561957,1789563997,,1378,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c78b3,QLK1259,YBBN,YMML,1789556415,1789563794,1052,1533,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c6b09,JST738,YMLT,YMML,1789560648,1789563237,1983,1754,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,06a1bb,VOZ008,OTHH,YMML,1789515815,1789562984,2658,1059,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c4a42,JST044,,YMML,1789550120,1789562286,,1157,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c6b2b,JST216,NZAA,YMML,1789548700,1789561792,514,1768,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c7ab0,VOZ700,YPPH,YMML,1789548955,1789561606,1450,1507,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c6dd8,QFA770,YPPH,YMML,1789549292,1789561376,1229,1604,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7cad4e,VOZ892,YSSY,YMML,1789557301,1789561163,196,970,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c6d75,JST533,YSSY,YMML,1789556886,1789560830,302,1905,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c66cf,QFA7365,YMLT,YMML,1789557430,1789560496,1122,1270,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c431c,JTE7486,YPAD,YMML,1789555616,1789560287,543,1888,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c561d,PHA73,NZAA,YMML,1789547011,1789560072,1937,1291,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c6c9b,JST447,YBCG,YMML,1789552870,1789559909,4768,2031,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c7aac,VOZ244,YPAD,YMML,1789555545,1789559770,806,1559,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,780a5c,CPA163,VHHH,YMML,1789530522,1789559591,1411,1049,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,8964e2,UAE62P,OMDB,YMML,1789514421,1789559316,3014,466,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c4a45,JST973,YPPH,YMML,1789546284,1789558825,361,1309,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c788f,JST573,YBBN,YMML,1789550961,1789558374,1245,1689,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c6d2b,VOZ1335,,YMML,1789554632,1789557856,,1577,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c78b2,QLK1515,YSSY,YMML,1789553280,1789557533,789,1313,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c6db7,QFA696,YPAD,YMML,1789553538,1789557178,981,1503,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,c82b16,ANZ129,NZAA,YMML,1789544170,1789556854,2077,1197,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c7bce,VOZ352,YBBN,YMML,1789549465,1789556629,1415,1577,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c5c68,QFA7410,YPAD,YMML,1789551740,1789556329,512,1752,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c6dd5,QFA483,YSSY,YMML,1789551502,1789555543,138,1599,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c7a49,VOZ882,YSSY,YMML,1789550910,1789554980,445,1607,OpenSky
2026-09-17,2026-09-16,YMML,Melbourne,Arrival,7c7a36,VOZ238,YPAD,YMML,1789551033,1789554877,894,1496,OpenSky
